date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:51:56	116/116	---MCZ	200	added ('OK')	text/plain	etag:%22492-1679402259;gz%22	https://click.proclaimers.agency/robots.txt		(from )
05:51:57	154892/154892	---M-Z	200	added ('OK')	text/html	etag:%22466-1679377164;gz%22	https://click.proclaimers.agency/	C:/My%20Web%20Sites/SIMOOOOOOOOO/click.proclaimers.agency/index.html	(from )
05:51:58	89791/89791	---M-Z	200	added ('OK')	text/css	date:Mon,%2019%20Dec%202022%2010:41:57%20GMT	https://click.proclaimers.agency/wp-content/plugins/bdthemes-element-pack/assets/css/bdt-uikit.css?ver=3.13.1	C:/My%20Web%20Sites/SIMOOOOOOOOO/click.proclaimers.agency/wp-content/plugins/bdthemes-element-pack/assets/css/bdt-uikit2916.css	(from https://click.proclaimers.agency/)
05:51:59	1935/1935	---M-Z	200	added ('OK')	application/rss+xml	etag:%22d878dd9f9c0b50dc22c242d175d1ef38%22	https://click.proclaimers.agency/feed/	C:/My%20Web%20Sites/SIMOOOOOOOOO/click.proclaimers.agency/feed/index.html	(from https://click.proclaimers.agency/)
05:52:00	1778/1778	---M-Z	200	added ('OK')	application/rss+xml	etag:%22d878dd9f9c0b50dc22c242d175d1ef38%22	https://click.proclaimers.agency/comments/feed/	C:/My%20Web%20Sites/SIMOOOOOOOOO/click.proclaimers.agency/comments/feed/index.html	(from https://click.proclaimers.agency/)
05:52:00	33596/33596	---M-Z	200	added ('OK')	text/css	date:Mon,%2019%20Dec%202022%2010:41:57%20GMT	https://click.proclaimers.agency/wp-content/plugins/bdthemes-element-pack/assets/css/ep-helper.css?ver=6.4.0	C:/My%20Web%20Sites/SIMOOOOOOOOO/click.proclaimers.agency/wp-content/plugins/bdthemes-element-pack/assets/css/ep-helper91f3.css	(from https://click.proclaimers.agency/)
05:52:00	1847/1847	---M-Z	200	added ('OK')	text/css	date:Mon,%2019%20Dec%202022%2012:02:32%20GMT	https://click.proclaimers.agency/wp-content/plugins/sina-extension-for-elementor/assets/css/sina-morphing.min.css?ver=3.4.4	C:/My%20Web%20Sites/SIMOOOOOOOOO/click.proclaimers.agency/wp-content/plugins/sina-extension-for-elementor/assets/css/sina-morphing.minedb1.css	(from https://click.proclaimers.agency/)
05:52:01	10712/10712	---M-Z	200	added ('OK')	text/css	date:Wed,%2015%20Mar%202023%2017:24:24%20GMT	https://click.proclaimers.agency/wp-content/plugins/fluentform/public/css/fluent-forms-public.css?ver=4.3.25	C:/My%20Web%20Sites/SIMOOOOOOOOO/click.proclaimers.agency/wp-content/plugins/fluentform/public/css/fluent-forms-public163a.css	(from https://click.proclaimers.agency/)
05:52:02	16814/16814	---M-Z	200	added ('OK')	text/css	date:Wed,%2015%20Mar%202023%2017:24:24%20GMT	https://click.proclaimers.agency/wp-content/plugins/fluentform/public/css/fluentform-public-default.css?ver=4.3.25	C:/My%20Web%20Sites/SIMOOOOOOOOO/click.proclaimers.agency/wp-content/plugins/fluentform/public/css/fluentform-public-default163a.css	(from https://click.proclaimers.agency/)
05:52:03	94889/94889	---MCZ	200	added ('OK')	text/css	date:Fri,%2011%20Nov%202022%2014:56:45%20GMT	https://c0.wp.com/c/6.1.1/wp-includes/css/dist/block-library/style.min.css	C:/My%20Web%20Sites/SIMOOOOOOOOO/c0.wp.com/c/6.1.1/wp-includes/css/dist/block-library/style.min.css	(from https://click.proclaimers.agency/)
05:52:03	11256/11256	---MCZ	200	added ('OK')	text/css	date:Tue,%2029%20Sep%202020%2015:53:06%20GMT	https://c0.wp.com/c/6.1.1/wp-includes/js/mediaelement/mediaelementplayer-legacy.min.css	C:/My%20Web%20Sites/SIMOOOOOOOOO/c0.wp.com/c/6.1.1/wp-includes/js/mediaelement/mediaelementplayer-legacy.min.css	(from https://click.proclaimers.agency/)
05:52:03	4186/4186	---MCZ	200	added ('OK')	text/css	date:Fri,%2007%20Jun%202019%2020:45:02%20GMT	https://c0.wp.com/c/6.1.1/wp-includes/js/mediaelement/wp-mediaelement.min.css	C:/My%20Web%20Sites/SIMOOOOOOOOO/c0.wp.com/c/6.1.1/wp-includes/js/mediaelement/wp-mediaelement.min.css	(from https://click.proclaimers.agency/)
05:52:04	217/217	---M--	200	added ('OK')	text/css	date:Tue,%2025%20Oct%202022%2013:45:16%20GMT	https://c0.wp.com/c/6.1.1/wp-includes/css/classic-themes.min.css	C:/My%20Web%20Sites/SIMOOOOOOOOO/c0.wp.com/c/6.1.1/wp-includes/css/classic-themes.min.css	(from https://click.proclaimers.agency/)
05:52:04	58023/58023	---M-Z	200	added ('OK')	text/css	date:Mon,%2013%20Mar%202023%2011:50:42%20GMT	https://click.proclaimers.agency/wp-content/plugins/ays-popup-box/public/css/animate.css?ver=3.4.7	C:/My%20Web%20Sites/SIMOOOOOOOOO/click.proclaimers.agency/wp-content/plugins/ays-popup-box/public/css/animatea7da.css	(from https://click.proclaimers.agency/)
05:52:05	89973/89973	---M-Z	200	added ('OK')	text/css	date:Mon,%2019%20Dec%202022%2012:02:32%20GMT	https://click.proclaimers.agency/wp-content/plugins/sina-extension-for-elementor/admin/assets/css/icofont.min.css?ver=3.4.4	C:/My%20Web%20Sites/SIMOOOOOOOOO/click.proclaimers.agency/wp-content/plugins/sina-extension-for-elementor/admin/assets/css/icofont.minedb1.css	(from https://click.proclaimers.agency/)
05:52:07	30999/30999	---M-Z	200	added ('OK')	text/css	date:Thu,%2027%20Jun%202019%2015:54:54%20GMT	https://click.proclaimers.agency/wp-content/plugins/elementor/assets/lib/font-awesome/css/font-awesome.min.css?ver=4.7.0	C:/My%20Web%20Sites/SIMOOOOOOOOO/click.proclaimers.agency/wp-content/plugins/elementor/assets/lib/font-awesome/css/font-awesome.min1849.css	(from https://click.proclaimers.agency/)
05:52:07	19363/19363	---M-Z	200	added ('OK')	text/css	date:Tue,%2007%20Feb%202023%2014:02:00%20GMT	https://click.proclaimers.agency/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min.css?ver=5.18.0	C:/My%20Web%20Sites/SIMOOOOOOOOO/click.proclaimers.agency/wp-content/plugins/elementor/assets/lib/eicons/css/elementor-icons.min3b94.css	(from https://click.proclaimers.agency/)
05:52:08	87331/87331	---M-Z	200	added ('OK')	text/css	date:Tue,%2014%20Mar%202023%2011:20:16%20GMT	https://click.proclaimers.agency/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.11.5	C:/My%20Web%20Sites/SIMOOOOOOOOO/click.proclaimers.agency/wp-content/plugins/elementor/assets/css/frontend-lite.mina3be.css	(from https://click.proclaimers.agency/)
05:52:08	12876/12876	---M-Z	200	added ('OK')	text/css	date:Tue,%2007%20Feb%202023%2014:02:00%20GMT	https://click.proclaimers.agency/wp-content/plugins/elementor/assets/lib/swiper/css/swiper.min.css?ver=5.3.6	C:/My%20Web%20Sites/SIMOOOOOOOOO/click.proclaimers.agency/wp-content/plugins/elementor/assets/lib/swiper/css/swiper.min48f5.css	(from https://click.proclaimers.agency/)
05:52:09	37465/37465	---M-Z	200	added ('OK')	text/css	date:Fri,%2017%20Mar%202023%2008:23:40%20GMT	https://click.proclaimers.agency/wp-content/uploads/elementor/css/post-282.css?ver=1679041420	C:/My%20Web%20Sites/SIMOOOOOOOOO/click.proclaimers.agency/wp-content/uploads/elementor/css/post-28246e5.css	(from https://click.proclaimers.agency/)
05:52:09	3933/3933	---M-Z	200	added ('OK')	text/css	date:Wed,%2015%20Mar%202023%2017:24:24%20GMT	https://click.proclaimers.agency/wp-content/plugins/fluentform/public/css/fluent-forms-elementor-widget.css?ver=4.3.25	C:/My%20Web%20Sites/SIMOOOOOOOOO/click.proclaimers.agency/wp-content/plugins/fluentform/public/css/fluent-forms-elementor-widget163a.css	(from https://click.proclaimers.agency/)
05:52:10	97666/97666	---M-Z	200	added ('OK')	text/css	date:Tue,%2020%20Dec%202022%2016:00:02%20GMT	https://click.proclaimers.agency/wp-content/uploads/uicore-global.css?ver=6728	C:/My%20Web%20Sites/SIMOOOOOOOOO/click.proclaimers.agency/wp-content/uploads/uicore-global9396.css	(from https://click.proclaimers.agency/)
05:52:11	57912/57912	---M-Z	200	added ('OK')	text/css	date:Thu,%2017%20Jun%202021%2014:07:24%20GMT	https://click.proclaimers.agency/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min.css?ver=5.15.3	C:/My%20Web%20Sites/SIMOOOOOOOOO/click.proclaimers.agency/wp-content/plugins/elementor/assets/lib/font-awesome/css/fontawesome.min52d5.css	(from https://click.proclaimers.agency/)
05:52:11	669/669	---M-Z	200	added ('OK')	text/css	date:Thu,%2017%20Jun%202021%2014:07:24%20GMT	https://click.proclaimers.agency/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min.css?ver=5.15.3	C:/My%20Web%20Sites/SIMOOOOOOOOO/click.proclaimers.agency/wp-content/plugins/elementor/assets/lib/font-awesome/css/solid.min52d5.css	(from https://click.proclaimers.agency/)
05:52:11	99717/99717	---MCZ	200	added ('OK')	text/css	date:Tue,%2014%20Mar%202023%2019:58:29%20GMT	https://c0.wp.com/p/jetpack/11.9.1/css/jetpack.css	C:/My%20Web%20Sites/SIMOOOOOOOOO/c0.wp.com/p/jetpack/11.9.1/css/jetpack.css	(from https://click.proclaimers.agency/)
05:52:16	333799/333799	---MC-	200	added ('OK')	application/json	etag:%22494-1679403132;;;%22	https://click.proclaimers.agency/wp-json/	C:/My%20Web%20Sites/SIMOOOOOOOOO/click.proclaimers.agency/wp-json/index.html	(from https://click.proclaimers.agency/)
05:52:16	114177/114177	---M--	200	added ('OK')	application/json	etag:%22495-1679403134;;;%22	https://click.proclaimers.agency/wp-json/wp/v2/pages/282	C:/My%20Web%20Sites/SIMOOOOOOOOO/click.proclaimers.agency/wp-json/wp/v2/pages/282.json	(from https://click.proclaimers.agency/)
05:52:17	858/858	---M-Z	200	added ('OK')	text/xml	date:Tue,%2021%20Mar%202023%2012:52:17%20GMT	https://click.proclaimers.agency/xmlrpc.php?rsd	C:/My%20Web%20Sites/SIMOOOOOOOOO/click.proclaimers.agency/xmlrpc0db0.php	(from https://click.proclaimers.agency/)
05:52:18	1045/1045	---M-Z	200	added ('OK')	application/xml	date:Thu,%2012%20Dec%202013%2006:19:12%20GMT	https://click.proclaimers.agency/wp-includes/wlwmanifest.xml	C:/My%20Web%20Sites/SIMOOOOOOOOO/click.proclaimers.agency/wp-includes/wlwmanifest.xml	(from https://click.proclaimers.agency/)
05:52:19	2352/2352	---M--	200	added ('OK')	application/json	etag:%22496-1679403138;;;%22	https://click.proclaimers.agency/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fclick.proclaimers.agency%2F	C:/My%20Web%20Sites/SIMOOOOOOOOO/click.proclaimers.agency/wp-json/oembed/1.0/embedfb92.json	(from https://click.proclaimers.agency/)
05:52:19	2427/2427	---M-Z	200	added ('OK')	text/xml	etag:%22497-1679403139;gz%22	https://click.proclaimers.agency/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fclick.proclaimers.agency%2F&format=xml	C:/My%20Web%20Sites/SIMOOOOOOOOO/click.proclaimers.agency/wp-json/oembed/1.0/embed1c39	(from https://click.proclaimers.agency/)
05:52:20	50580/50580	---M--	200	added ('OK')	font/ttf	date:Mon,%2019%20Dec%202022%2015:12:13%20GMT	https://click.proclaimers.agency/wp-content/uploads/2022/12/Al-Jazeera-Arabic-Regular.ttf	C:/My%20Web%20Sites/SIMOOOOOOOOO/click.proclaimers.agency/wp-content/uploads/2022/12/Al-Jazeera-Arabic-Regular.ttf	(from https://click.proclaimers.agency/)
05:52:22	310/310	---M--	200	added ('OK')	image/png	date:Tue,%2020%20Dec%202022%2014:02:37%20GMT	https://click.proclaimers.agency/wp-content/uploads/2022/12/cropped-Logo_Proclaimers_White_400px-300x43-2.png	C:/My%20Web%20Sites/SIMOOOOOOOOO/click.proclaimers.agency/wp-content/uploads/2022/12/cropped-Logo_Proclaimers_White_400px-300x43-2.png	(from https://click.proclaimers.agency/)
05:52:23	2917/2917	---M--	200	added ('OK')	image/png	etag:%2217d48e413ddbe9a5%22	https://i0.wp.com/click.proclaimers.agency/wp-content/uploads/2022/12/cropped-Logo_Proclaimers_black_400px-300x43-1.png?fit=300%2C43&ssl=1	C:/My%20Web%20Sites/SIMOOOOOOOOO/i0.wp.com/click.proclaimers.agency/wp-content/uploads/2022/12/cropped-Logo_Proclaimers_black_400px-300x43-17d45.png	(from https://click.proclaimers.agency/)
05:52:24	9610/9610	---M--	200	added ('OK')	image/png	etag:%22d8f0111cca9be0d0%22	https://i0.wp.com/click.proclaimers.agency/wp-content/uploads/2022/12/cropped-Logo_Proclaimers_White_400px-signature.png?fit=636%2C237&ssl=1	C:/My%20Web%20Sites/SIMOOOOOOOOO/i0.wp.com/click.proclaimers.agency/wp-content/uploads/2022/12/cropped-Logo_Proclaimers_White_400px-signaturea577.png	(from https://click.proclaimers.agency/)
